X,Z,Success?,ReachedExit
2.178557,-9.05168,0,0
23.73435,-9.458203,-1,0
76.13669,-9.137092,1,2
89.76617,-25.05603,1,3
47.48335,-27.30758,1,1
17.94398,-9.232838,1,1
50.59385,-14.8259,1,2
47.62719,-7.19091,1,2
15.9381,-9.231812,1,1
57.24191,-9.271128,1,2
35.61192,-9.938033,1,1
12.37442,-28.45791,1,1
48.9371,-11.52568,1,2
73.65299,-28.58002,1,1
76.23714,-28.1562,1,1
90.79033,-11.38538,1,2
91.70918,-22.27218,-1,0
60.76834,-9.201188,1,2
95.25005,-9.545384,1,2
66.36096,-28.8701,1,1
89.66231,-26.54338,1,3
87.65421,-28.72049,1,3
74.55792,-9.326186,1,2
35.00856,-28.91591,1,1
69.31995,-9.687672,1,2
30.16497,-9.338991,1,1
76.49625,-9.071496,1,2
49.89725,-15.23545,1,2
78.04946,-28.42429,1,1
44.25383,-6.875691,1,2
89.25011,-28.81023,1,3
84.08698,-9.745031,1,2
30.18393,-28.80968,1,1
50.00977,-27.92312,1,1
49.39022,-25.31048,1,1
60.4148,-9.9993,1,2
40.35666,-28.47572,1,1
48.2198,-4.040461,1,2
94.42852,-9.238775,1,2
8.866001,-9.230613,1,1
90.37245,-17.76175,-1,0
33.258,-9.789205,1,1
91.92158,-19.57804,-1,0
51.6752,-22.00799,-1,0
75.84403,-9.508521,-1,0
26.04105,-28.81269,1,1
47.40974,-23.30593,1,1
48.67337,-12.66417,-1,0
91.05355,-10.27829,0,0
12.82415,-9.532654,1,1
19.19891,-9.684538,1,1
21.12054,-28.19035,1,1
50.86525,-12.73819,-1,0
92.51728,-9.446857,1,2
29.92204,-9.626595,1,1
9.121598,-9.193935,1,1
89.6452,-22.30819,-1,0
7.047931,-9.930622,1,1
65.02802,-9.448973,1,2
87.06979,-10.84059,1,3
15.9982,-28.30179,1,1
16.9585,-28.56763,1,1
28.17538,-9.332553,1,1
90.18912,-16.49136,-1,0
23.62511,-28.33954,-1,0
78.24806,-9.024213,1,2
44.70876,-27.27868,1,1
93.83803,-9.510433,1,2
47.9971,-8.729653,1,2
29.60276,-9.7608,1,1
88.89244,-16.61666,0,0
5.422291,-9.849954,1,1
59.35719,-28.5828,1,1
20.7479,-28.58453,1,1
87.617,-28.49352,1,3
26.67493,-9.97733,1,1
55.14769,-9.851009,1,2
51.11226,-22.81676,-1,0
59.92753,-28.37511,1,1
15.77506,-9.919229,1,1
87.96025,-20.10895,1,3
55.06,-28.84315,1,1
40.76089,-28.07115,1,1
44.04746,-17.81558,1,1
44.9551,-4.251112,1,2
49.07111,-6.328035,1,2
73.8866,-9.026373,1,2
91.86764,-10.01656,1,2
4.809255,-28.07914,1,1
85.70642,-9.951994,1,2
10.17847,-28.82012,1,1
57.85847,-28.37176,1,1
43.27591,-9.747987,1,1
81.97302,-9.130463,1,2
46.32286,-27.54276,1,1
91.05729,-11.85896,0,0
86.2084,-28.87666,1,3
9.167476,-28.26825,1,1
25.78453,-9.023403,1,1
91.83134,-9.648876,1,2
56.95159,-9.525229,1,2
92.21754,-9.744215,1,2
81.43452,-9.10385,1,2
50.54745,-19.80836,-1,0
27.23787,-28.39382,1,1
53.38854,-28.52934,1,1
6.485884,-9.952981,1,1
88.51409,-20.97951,-1,0
81.0974,-9.760778,1,2
18.894,-9.723055,1,1
88.81305,-26.23847,1,3
48.70613,-17.33876,-1,0
74.24416,-28.78944,-1,0
26.50058,-28.5261,-1,0
55.56086,-9.31518,1,2
81.66473,-9.607819,1,2
55.61766,-28.59581,1,1
41.48618,-9.86814,1,1
51.47764,-14.35476,1,2
10.86955,-9.232121,1,1
85.46717,-9.504282,0,0
26.99207,-9.947622,1,1
10.62861,-9.631687,1,1
60.26425,-28.31947,1,1
50.96684,-20.82586,-1,0
62.15155,-9.102475,1,2
51.91815,-13.79865,1,2
42.28944,-9.241508,1,1
49.76599,-13.51682,1,2
19.46246,-28.69042,1,1
17.05848,-28.9888,1,1
52.60219,-24.95358,1,1
3.941668,-28.89167,1,1
55.45029,-9.128089,1,2
9.844204,-9.176403,1,1
84.81299,-9.939075,1,2
87.94221,-28.74868,1,3
39.6885,-28.63347,1,1
78.93117,-9.185366,1,2
61.4143,-28.91464,1,1
16.59499,-9.620024,1,1
5.492186,-28.88475,1,1
78.37929,-9.363728,1,2
90.50693,-18.64968,-1,0
78.62529,-9.159015,1,2
70.96397,-28.86062,1,1
52.75637,-15.28048,1,2
87.81683,-11.15613,1,3
83.20253,-28.16973,1,3
89.90762,-27.77212,1,3
51.30827,-28.17415,1,1
91.81839,-28.59604,1,3
87.8662,-9.886237,1,3
89.14432,-20.99209,-1,0
52.46614,-20.86886,-1,0
28.64149,-28.43435,-1,0
4.576684,-28.27122,1,1
69.94753,-9.862802,1,2
86.7735,-9.256203,1,3
87.70953,-26.91946,1,3
87.45895,-17.0899,1,3
46.24513,-10.13422,1,2
20.77786,-28.87117,1,1
60.3064,-9.364212,1,2
54.18633,-28.61946,1,1
78.35577,-28.0612,1,3
36.82994,-28.01191,1,1
89.26755,-13.63869,-1,0
43.405,-28.35447,1,1
78.45205,-9.209908,1,2
70.38795,-9.997591,1,2
3.869771,-28.15645,1,1
17.44122,-28.50481,1,1
13.65111,-28.7805,1,1
67.85306,-9.212278,1,2
17.78489,-28.97857,1,1
11.41693,-9.570688,1,1
54.66917,-28.83937,1,1
68.68137,-28.29181,1,1
71.65465,-9.454433,1,2
20.48986,-28.13733,1,1
89.27156,-28.97999,1,3
60.10813,-28.18564,1,1
54.53053,-28.26043,1,1
52.63145,-21.82821,-1,0
18.71943,-28.40444,1,1
49.33993,-28.55988,1,1
29.46898,-9.677876,1,1
50.07405,-14.45894,1,2
88.18771,-16.15479,1,3
